case_id,param_i,param_j,correlation
38,film_gamma_thz,film_plasma_freq_thz,-0.07233345460247209
38,film_gamma_thz,film_gamma_thz,1.0
39,film_thickness_um,film_thickness_um,1.0
39,film_thickness_um,film_plasma_freq_thz,0.844674539861171
39,film_thickness_um,film_gamma_thz,-0.16934711065897687
39,film_plasma_freq_thz,film_thickness_um,0.844674539861171
39,film_plasma_freq_thz,film_plasma_freq_thz,1.0
39,film_plasma_freq_thz,film_gamma_thz,-0.07154547178209887
39,film_gamma_thz,film_thickness_um,-0.16934711065897687
39,film_gamma_thz,film_plasma_freq_thz,-0.07154547178209887
39,film_gamma_thz,film_gamma_thz,1.0
40,film_thickness_um,film_thickness_um,1.0
40,film_thickness_um,film_plasma_freq_thz,0.8443370051872565
40,film_thickness_um,film_gamma_thz,-0.1689634214350616
40,film_plasma_freq_thz,film_thickness_um,0.8443370051872565
40,film_plasma_freq_thz,film_plasma_freq_thz,1.0
40,film_plasma_freq_thz,film_gamma_thz,-0.0708194911524692
40,film_gamma_thz,film_thickness_um,-0.1689634214350616
40,film_gamma_thz,film_plasma_freq_thz,-0.0708194911524692
40,film_gamma_thz,film_gamma_thz,1.0
41,film_thickness_um,film_thickness_um,1.0
41,film_thickness_um,film_plasma_freq_thz,0.8440291696972836
41,film_thickness_um,film_gamma_thz,-0.16861054465419534
41,film_plasma_freq_thz,film_thickness_um,0.8440291696972836
41,film_plasma_freq_thz,film_plasma_freq_thz,1.0
41,film_plasma_freq_thz,film_gamma_thz,-0.07015613777712072
41,film_gamma_thz,film_thickness_um,-0.16861054465419534
41,film_gamma_thz,film_plasma_freq_thz,-0.07015613777712072
41,film_gamma_thz,film_gamma_thz,1.0
42,film_thickness_um,film_thickness_um,1.0
42,film_thickness_um,film_plasma_freq_thz,0.8437525038146384
42,film_thickness_um,film_gamma_thz,-0.16829106708652372
42,film_plasma_freq_thz,film_thickness_um,0.8437525038146384
42,film_plasma_freq_thz,film_plasma_freq_thz,1.0
42,film_plasma_freq_thz,film_gamma_thz,-0.06955898759732437
42,film_gamma_thz,film_thickness_um,-0.16829106708652372
42,film_gamma_thz,film_plasma_freq_thz,-0.06955898759732437
42,film_gamma_thz,film_gamma_thz,1.0
43,film_thickness_um,film_thickness_um,1.0
43,film_thickness_um,film_plasma_freq_thz,0.7713789615135671
43,film_thickness_um,film_gamma_thz,-0.09348559616479289
43,film_plasma_freq_thz,film_thickness_um,0.7713789615135671
43,film_plasma_freq_thz,film_plasma_freq_thz,1.0
43,film_plasma_freq_thz,film_gamma_thz,0.09566395417232125
43,film_gamma_thz,film_thickness_um,-0.09348559616479289
43,film_gamma_thz,film_plasma_freq_thz,0.09566395417232125
43,film_gamma_thz,film_gamma_thz,1.0
44,film_thickness_um,film_thickness_um,1.0
44,film_thickness_um,film_plasma_freq_thz,0.8432652742700026
44,film_thickness_um,film_gamma_thz,-0.16772324842027608
44,film_plasma_freq_thz,film_thickness_um,0.8432652742700026
44,film_plasma_freq_thz,film_plasma_freq_thz,1.0
44,film_plasma_freq_thz,film_gamma_thz,-0.06850527435553516
44,film_gamma_thz,film_thickness_um,-0.16772324842027608
44,film_gamma_thz,film_plasma_freq_thz,-0.06850527435553516
44,film_gamma_thz,film_gamma_thz,1.0
45,film_thickness_um,film_thickness_um,1.0
45,film_thickness_um,film_plasma_freq_thz,0.8430530819877267
45,film_thickness_um,film_gamma_thz,-0.16747394675871458
45,film_plasma_freq_thz,film_thickness_um,0.8430530819877267
45,film_plasma_freq_thz,film_plasma_freq_thz,1.0
45,film_plasma_freq_thz,film_gamma_thz,-0.06804558813357511
45,film_gamma_thz,film_thickness_um,-0.16747394675871458
45,film_gamma_thz,film_plasma_freq_thz,-0.06804558813357511
45,film_gamma_thz,film_gamma_thz,1.0
46,film_thickness_um,film_thickness_um,1.0
46,film_thickness_um,film_plasma_freq_thz,0.8428560469268015
46,film_thickness_um,film_gamma_thz,-0.16724138881258077
46,film_plasma_freq_thz,film_thickness_um,0.8428560469268015
46,film_plasma_freq_thz,film_plasma_freq_thz,1.0
46,film_plasma_freq_thz,film_gamma_thz,-0.06761833409721275
46,film_gamma_thz,film_thickness_um,-0.16724138881258077
46,film_gamma_thz,film_plasma_freq_thz,-0.06761833409721275
46,film_gamma_thz,film_gamma_thz,1.0
47,film_thickness_um,film_thickness_um,1.0
47,film_thickness_um,film_plasma_freq_thz,0.8426786125435174
47,film_thickness_um,film_gamma_thz,-0.16703110390262815
47,film_plasma_freq_thz,film_thickness_um,0.8426786125435174
47,film_plasma_freq_thz,film_plasma_freq_thz,1.0
47,film_plasma_freq_thz,film_gamma_thz,-0.06723326226054246
47,film_gamma_thz,film_thickness_um,-0.16703110390262815
47,film_gamma_thz,film_plasma_freq_thz,-0.06723326226054246
47,film_gamma_thz,film_gamma_thz,1.0
48,film_thickness_um,film_thickness_um,1.0
48,film_thickness_um,film_plasma_freq_thz,0.8425170910932697
48,film_thickness_um,film_gamma_thz,-0.1668389801959349
48,film_plasma_freq_thz,film_thickness_um,0.8425170910932697
48,film_plasma_freq_thz,film_plasma_freq_thz,1.0
48,film_plasma_freq_thz,film_gamma_thz,-0.06688247066554556
48,film_gamma_thz,film_thickness_um,-0.1668389801959349
48,film_gamma_thz,film_plasma_freq_thz,-0.06688247066554556
48,film_gamma_thz,film_gamma_thz,1.0
49,film_thickness_um,film_thickness_um,1.0
49,film_thickness_um,film_plasma_freq_thz,0.7562968298771923
49,film_thickness_um,film_gamma_thz,-0.032797456931325096
49,film_plasma_freq_thz,film_thickness_um,0.7562968298771923
49,film_plasma_freq_thz,film_plasma_freq_thz,1.0
49,film_plasma_freq_thz,film_gamma_thz,0.12919931691590014
49,film_gamma_thz,film_thickness_um,-0.032797456931325096
49,film_gamma_thz,film_plasma_freq_thz,0.12919931691590014
49,film_gamma_thz,film_gamma_thz,1.0
50,film_thickness_um,film_thickness_um,1.0
50,film_thickness_um,film_plasma_freq_thz,0.9107774305548256
50,film_thickness_um,film_gamma_thz,-0.4186123182562512
50,film_plasma_freq_thz,film_thickness_um,0.9107774305548256
50,film_plasma_freq_thz,film_plasma_freq_thz,1.0
50,film_plasma_freq_thz,film_gamma_thz,-0.30959922353480535
50,film_gamma_thz,film_thickness_um,-0.4186123182562512
50,film_gamma_thz,film_plasma_freq_thz,-0.30959922353480535
50,film_gamma_thz,film_gamma_thz,1.0
51,film_thickness_um,film_thickness_um,1.0
51,film_thickness_um,film_plasma_freq_thz,0.9022058189682978
51,film_thickness_um,film_gamma_thz,-0.34148912536078824
51,film_plasma_freq_thz,film_thickness_um,0.9022058189682978
51,film_plasma_freq_thz,film_plasma_freq_thz,1.0
51,film_plasma_freq_thz,film_gamma_thz,-0.24280243567790857
51,film_gamma_thz,film_thickness_um,-0.34148912536078824
51,film_gamma_thz,film_plasma_freq_thz,-0.24280243567790857
51,film_gamma_thz,film_gamma_thz,1.0
